,Fours,Sixes,SR,Runs
189,0.5714285714285714,0.42857142857142855,1.0,14
190,0.23529411764705882,0.0,0.6538461538461539,51
191,0.0,0.0,0.4489795918367347,22
199,0.5,0.0,0.5714285714285714,8
200,0.4375,0.0,1.0940170940170941,128
201,0.47761194029850745,0.0,0.9852941176470589,67
202,0.46601941747572817,0.05825242718446602,1.2117647058823529,103
203,0.3157894736842105,0.07894736842105263,0.7378640776699029,76
204,0.0,0.0,0.4,2
205,0.0,0.0,0.0,0
192,1.0,0.0,0.5714285714285714,8
193,0.2,0.0,0.5797101449275363,40
194,0.6153846153846154,0.0,0.5416666666666666,13
195,0.5,0.0,1.037037037037037,112
196,0.0,0.0,0.15384615384615385,2
206,0.4090909090909091,0.0,1.035294117647059,88
207,0.5714285714285714,0.0,0.7777777777777778,7
208,0.6666666666666666,0.0,1.5,36
209,0.64,0.0,0.5952380952380952,25
210,0.7272727272727273,0.0,0.6470588235294118,11
211,0.0,0.0,0.4,2
225,0.6153846153846154,0.0,1.0,13
226,0.26229508196721313,0.0,0.7011494252873564,61
227,0.0,0.0,0.0,0
218,0.0,0.0,0.4,2
219,0.47761194029850745,0.0,0.7204301075268817,67
220,0.4444444444444444,0.0,0.9692307692307692,63
221,0.32558139534883723,0.0,0.7889908256880734,86
222,0.43956043956043955,0.0,0.7338709677419355,91
223,0.42857142857142855,0.10714285714285714,0.9824561403508771,112
224,0.36363636363636365,0.0,0.66,33
212,1.0,0.0,0.26666666666666666,4
213,0.10526315789473684,0.47368421052631576,0.926829268292683,38
214,0.42105263157894735,0.07894736842105263,0.8941176470588236,76
215,0.0,0.0,0.5,9
216,0.345679012345679,0.14814814814814814,1.2272727272727273,81
217,0.49557522123893805,0.0,1.0560747663551402,113
180,0.5128205128205128,0.0,1.0,39
181,0.5714285714285714,0.0,0.5384615384615384,7
182,0.49523809523809526,0.05714285714285714,1.381578947368421,105
183,0.37606837606837606,0.10256410256410256,1.3295454545454546,117
184,0.4230769230769231,0.0,0.9719626168224299,104
185,0.41935483870967744,0.1935483870967742,1.2525252525252526,124
186,0.26666666666666666,0.0,0.45,45
